FEN,Response Move
1k1r1bnr/ppp1p1pp/4bp2/qP1p4/3P1B2/3NPP2/4B1PP/1R3RK1 b - - 1 18,g7g5
1k1r1bnr/ppp1p2p/4bp2/qP1p2p1/3P4/3NPPB1/4B1PP/1R3RK1 b - - 1 19,h7h5
1k1r1bnr/ppp1p3/4bp2/qP1p2pp/3P4/3NPPB1/4B1PP/1RR3K1 b - - 1 20,h5h4
1k1r1bnr/ppp1pppp/4b3/1P1pN3/3P1B2/q3P3/4BPPP/1R3RK1 b - - 0 16,a3a5
1k1r1bnr/ppp1pppp/4b3/3pN3/1P1P1B2/2q1P3/4BPPP/1R3RK1 b - - 0 15,c3a3
1k1r1bnr/ppp1pppp/4b3/qP1pN3/3P1B2/4PP2/4B1PP/1R3RK1 b - - 0 17,f7f6
1k1r1q2/1p2R3/pP6/P1K1n3/3pP3/8/8/8 b - - 2 54,f8e7
1k1r1q2/pp6/2p5/4Q1p1/8/P1P2B1P/1P4P1/K7 b - - 1 34,d8d6
1k1r1q2/ppp5/8/6p1/4Q3/P1P2B1P/1P4P1/K7 b - - 2 33,c7c6
1k1r1r2/ppp5/3p3R/5p2/2B5/5KP1/PPP2P1P/R1B5 b - - 0 21,f5f4
1k1r1r2/ppp5/3p4/8/2B2p1R/5KP1/PPP2P1P/R1B5 b - - 1 22,d6d5
1k1r1r2/ppp5/8/3p4/5p1R/3B1KP1/PPP2P1P/R1B5 b - - 1 23,d5d4
1k1r1r2/ppp5/8/8/3p1P1R/3B1K2/PPP2P1P/R1B5 b - - 0 24,d8d6
1k1r2nr/2pq1p2/Bp5p/p3PbpN/8/P3P3/1P3PPP/R2Q1RK1 b - - 0 17,g8e7
1k1r2nr/pp6/3p1p2/8/3pP1pP/3P2B1/PPRK2P1/R7 b - - 3 21,g8e7
1k1r2r1/pp6/2np1p2/7P/3pP1p1/3P4/PPRK2PB/2R5 b - - 0 24,g4g3
1k1r2r1/pp6/2np1p2/7P/3pP3/3P2p1/PPRK2P1/2R3B1 b - - 1 25,g8h8
